it,SNR,mod,acc,f1
3,-4,BPSK,0.3892857142857143,0.35667107001321
3,-4,QAM16,0.3892857142857143,0.7410138248847927
3,-4,QPSK,0.3892857142857143,0.3425559947299078
3,-4,8PSK,0.3892857142857143,0.14043035107587767
3,-4,GFSK,0.3892857142857143,0.04347826086956522
3,-4,CPFSK,0.3892857142857143,0.15348837209302327
3,-4,PAM4,0.3892857142857143,0.7581354441512753
3,-2,BPSK,0.4488095238095238,0.4375857338820302
3,-2,QAM16,0.4488095238095238,0.7729022324865281
3,-2,QPSK,0.4488095238095238,0.3496426608026387
3,-2,8PSK,0.4488095238095238,0.047832585949177886
3,-2,GFSK,0.4488095238095238,0.21628498727735368
3,-2,CPFSK,0.4488095238095238,0.28982725527831094
3,-2,PAM4,0.4488095238095238,0.7445365486058779
3,0,BPSK,0.5026190476190476,0.5975422427035331
3,0,QAM16,0.5026190476190476,0.6411837237977804
3,0,QPSK,0.5026190476190476,0.3381389252948886
3,0,8PSK,0.5026190476190476,0.06862745098039216
3,0,GFSK,0.5026190476190476,0.4536312849162011
3,0,CPFSK,0.5026190476190476,0.3869653767820774
3,0,PAM4,0.5026190476190476,0.8321400159108989
3,2,BPSK,0.6,0.7521815008726004
3,2,QAM16,0.6,0.5359477124183007
3,2,QPSK,0.6,0.29515418502202645
3,2,8PSK,0.6,0.18626309662398136
3,2,GFSK,0.6,0.6990099009900991
3,2,CPFSK,0.6,0.7092751363990647
3,2,PAM4,0.6,0.8863070539419086
3,4,BPSK,0.6752380952380952,0.8073555166374781
3,4,QAM16,0.6752380952380952,0.6222486615110053
3,4,QPSK,0.6752380952380952,0.490299823633157
3,4,8PSK,0.6752380952380952,0.2606577344701584
3,4,GFSK,0.6752380952380952,0.7319884726224782
3,4,CPFSK,0.6752380952380952,0.7814761215629523
3,4,PAM4,0.6752380952380952,0.9107589658048374
3,6,BPSK,0.7178571428571429,0.8320802005012531
3,6,QAM16,0.7178571428571429,0.7257142857142856
3,6,QPSK,0.7178571428571429,0.5773195876288659
3,6,8PSK,0.7178571428571429,0.32057416267942584
3,6,GFSK,0.7178571428571429,0.7580496780128794
3,6,CPFSK,0.7178571428571429,0.7893175074183976
3,6,PAM4,0.7178571428571429,0.918228279386712
3,8,BPSK,0.7328571428571429,0.8628428927680798
3,8,QAM16,0.7328571428571429,0.7733732236350037
3,8,QPSK,0.7328571428571429,0.5986111111111112
3,8,8PSK,0.7328571428571429,0.29813664596273287
3,8,GFSK,0.7328571428571429,0.7597864768683275
3,8,CPFSK,0.7328571428571429,0.7862068965517242
3,8,PAM4,0.7328571428571429,0.9291736930860034
3,10,BPSK,0.7378571428571429,0.8358714043993232
3,10,QAM16,0.7378571428571429,0.781557067271353
3,10,QPSK,0.7378571428571429,0.6125166444740346
3,10,8PSK,0.7378571428571429,0.31512071156289706
3,10,GFSK,0.7378571428571429,0.786355475763016
3,10,CPFSK,0.7378571428571429,0.8061302681992337
3,10,PAM4,0.7378571428571429,0.9098567818028643
3,12,BPSK,0.7366666666666667,0.8406040268456376
3,12,QAM16,0.7366666666666667,0.7953846153846155
3,12,QPSK,0.7366666666666667,0.6025554808338937
3,12,8PSK,0.7366666666666667,0.30402010050251255
3,12,GFSK,0.7366666666666667,0.7768014059753954
3,12,CPFSK,0.7366666666666667,0.7888631090487239
3,12,PAM4,0.7366666666666667,0.9296482412060301
3,14,BPSK,0.73,0.8424599831508004
3,14,QAM16,0.73,0.7922178988326849
3,14,QPSK,0.73,0.6084099868593955
3,14,8PSK,0.73,0.3076923076923077
3,14,GFSK,0.73,0.7429609445958221
3,14,CPFSK,0.73,0.7780285929270128
3,14,PAM4,0.73,0.9230769230769231
3,16,BPSK,0.7333333333333333,0.863673469387755
3,16,QAM16,0.7333333333333333,0.7987470634299139
3,16,QPSK,0.7333333333333333,0.6186267845003398
3,16,8PSK,0.7333333333333333,0.3048327137546468
3,16,GFSK,0.7333333333333333,0.7407407407407408
3,16,CPFSK,0.7333333333333333,0.7607361963190183
